foa-0001	permission final episode
1277923	visual_vocabularies visual vocabularies for image retrieval paper image_retrieval image retrieval text query vector_space vector space classification_problem classification problem high-dimensional visual_vocabulary visual vocabulary image documents detail representation image documents application text_retrieval text retrieval techniques tf-idf semantic image_retrieval image retrieval problem methods images subset retrieval_performance retrieval performance methods
1277924	web_page web page topic_segmentation topic segmentation algorithm visual criteria content layout paper experiments algorithm web_page web page topic_segmentation topic segmentation precision improvement retrieval documents the_web track corpus processing document web_page web page semantic_blocks semantic visual criteria horizontal lines colors tags headings paragraph combining visual content layout criteria results for precision ranking page for relevant segments pages segmentation_algorithm segmentation algorithm
1277925	document_clustering clustering optimization_problem optimization problem clustering_algorithms algorithms information_retrieval information retrieval applications difficult objective result article document_clustering document clustering algorithms equivalent optimization_problem optimization problem global functions performance optimal_solution optimal solution algorithms global_optimization global optimization framework potential find solutions traditional clustering handle complex structures
1277926	experts task people experts topic attention expert_finding expert task for small number example experts natural_language_query natural language query system task similar_experts experts evaluate number representing experts size example set affects performance representations result performance sample sets input precision
1277927	active_learning learning for class_imbalance_problem class imbalance problem class_imbalance_problem class imbalance problem learning_performance learning performance classification algorithms real-world classification_tasks classification tasks text_categorization text categorization demonstrate active_learning active learning solving problem
1277928	for retrieving documents identification passages large document collections present retrieval_strategies retrieval strategies stochastic_sampling stochastic sampling chunk indexes corpus n-gram indexes fingerprint_index fingerprint index plagiarism_analysis plagiarism analysis use_case use case index analysis speed-up factor order equivalent terms precision_and_recall precision recall
1277929	generative_modeling modeling documents for expert_search expert search paper address task expert organization expert_search expert search problem present probabilistic_algorithm probabilistic algorithm models documents mixtures expert candidate language_models language models approach sound solutions
1277930	random_walk walk term_weighting term weighting for information_retrieval information retrieval present way estimating term_weights term weights for information_retrieval term_co-occurrence term co-occurrence measure dependency use random_walk random walk graph-based_ranking graph-based ranking algorithm graph terms co-occurrence dependencies text derive term_weights term weights quantification term its context collections topics random term_weights term weights least traditional tf-idf term_weighting term weighting distance co-occurring terms terms
1277931	query_logs query logs query_refinement query refinement query_logs logs pseudo-relevance_feedback feedback terms refine queries can search_effectiveness search effectiveness poster present study techniques degree similarity set test queries same set query type results similarity evidence algorithm similarity for full-text similarity for informational_queries queries implications for usage query_logs query logs query_refinement query refinement alternatives
1277932	automatic_extension extension wordnets abstract
1277933	experiments searching spontaneous speech abstract
1277934	bias subset pooling strategies method estimate random errors incomplete relevance average_precision large number topics assessment pool for same effort topics same depth pooling yield rank_correlation rank correlation power lower bias pooling
1277935	tau poster potential problem measure information_retrieval_research research rank_correlation rank correlation coefficient coefficient for its use similarity test_collections test collections ranking sets retrieval values for coefficient number studies information_retrieval information retrieval poster results decisions thresholds
1277936	opinion_holder holder extraction author authority viewpoints opinion_holder holder extraction research for opinions perspectives paper experience participation opinion_analysis focusing opinion_holder opinion holder extraction results approach opinion_holder opinion holder extraction discrimination author authority viewpoints sentences evaluation results fair respect documents
1277937	term_dependency term dependency dfr framework term_dependency dependency co-occurrence language_modelling language modelling for instance retrieval_performance retrieval performance term_dependency term dependency information work term_dependency term dependency can divergence_from_randomness framework evaluate term_dependency term dependency model adhoc retrieval tasks collection effect term_dependency term dependency window_size window size retrieval_performance retrieval performance model experiments term_dependency term dependency can framework
1277938	question answer portals exploration link_analysis link analysis for author_ranking author ranking question-answer_portals portals yahoo!_answers popularity popularity quality answers users answers answers estimating authority quality users task for domain potential applications answer ranking incentive_mechanism incentive mechanism design adapt link_analysis link analysis methodology the_web web domain first step estimating authority portals experimental_results experimental results answers yahoo!_answers warrant exploration lines poster
1277939	studies web_search web search rare_queries queries large queries web_search search search_log search log behaviors associated queries present analyses directions
1277940	dimensionality_reduction reduction for search dimensionality_reduction reduction role efficient similarity_search similarity search k-nearest_neighbor neighbor queries high-dimensional feature space paper type query constraint distances dimensionality_reduction dimensionality reduction methods type queries standard_deviation standard dimensionality_reduction support pruning efficient query_processing query processing strategy experimental_results experimental results protein_structure protein structure data demonstrate method
1277941	effective method for best_entry_points entry points semi-structured_documents semi-structured documents structured_document_retrieval structured document retrieval concept best_entry_point entry point optimal users can browse relevant_document relevant document components paper evaluate method for xml_documents documents framework evaluation collection effectiveness approach
1277942	rewriting active_learning active learning for sponsored_search search sponsored_search search revenue for search can issue queries advertisement keywords query_rewriting_technique rewriting technique user queries relevant advertisement keywords web advertisements match relevance critical for clicks study query_rewriting query rewriting relevance purpose use active_learning_algorithm active learning algorithm transductive_experimental_design select informative train query_rewriting query rewriting relevance_model relevance model approach model_accuracy model accuracy rewriting relevance
1277943	analysis peer-to-peer file-sharing system queries studies focus focus peer-to-peer file-sharing system queries massive scale terms internet_traffic traffic queries network differentiated web_queries queries
1277944	relevance sponsored_results results for web ecommerce queries sponsored_links links business_model business model for web_search_engines search consumers relevant results research issue relevance links for ecommerce queries search_engines search results average relevance ratings for links same relevance ratings for sponsored_links links ecommerce queries links for queries web_search_engines search present implications for web_search_engines search sponsored_search search long-term business_model business model mechanism for relevant_information relevant information for
1277945	online searching learning_paradigm learning paradigm research can model online searching learning_paradigm learning paradigm searching characteristics participants searching tasks classified searching tasks version taxonomy categorization cognitive learning results searching effort queries per session topics per sessions categories learning levels exhibit searching characteristics higher_order order categories internal knowledge use searching fact checking and_verification verification simple information goals implications for web_searching searching interfaces support exploration views
1277946	efficient parallel_computation parallel computation pagerank abstract
1277947	similarity links shortcuts relevant_web relevant web pages navigation relevant_web relevant web page relevant pages page linking relevant pages distance travel relevant page relevant page distribution distances hops make relevant pages content_similarity content similarity links pages links relevant documents browser_plug-in browser plug-in tool links pages page increase ability web users find relevant pages via navigation
1277948	maximum_likelihood_estimation maximum likelihood estimation for language_models language models language modeling approach data language_models language models em_algorithm algorithm find maximum_likelihood_estimation maximum likelihood estimation component weights language_models language models paper efficient_algorithm efficient algorithm complexity find solution number words least probabilities words zeros language model feature_selection feature selection technique
1277949	temporal_dimension temporal dimension multi-document_summarization multi-document summarization graph-ranking_based algorithms for multi-document_summarization multi-document summarization algorithms dimension temporal_dimension temporal dimension for evolving topics evolving topic recent_documents documents documents recent_documents documents information documents summary topic algorithm make use temporal_information temporal information documents algorithm study demonstrate effectiveness algorithm for dynamic multi-document_summarization multi-document summarization
1277950	trust sift spam the_web web the_web pages search_engines search result_ranking result ranking links web_pages web pages authority ranking_systems ranking systems benefit knowing pages content trusted trust_propagation trust propagation methods estimate trustworthiness page find propagation method improvement spam pages
1277951	feature_engineering engineering for mobile spam_filtering spam filtering mobile_spam spam threat filtering systems like email_spam email spam email_filtering email filtering techniques adaptation reach levels performance sms_spam spam message representation order test assumption experiments filtering top email_spam email spam filters mobile_spam mobile spam messages feature_representation feature representation results hypothesis
1277952	community relevance web_page web page relevant topics topic page attention links communities authority pages web_page web page respect community pointing relevance communities model reputation for potential result apply queries dataset demonstrate use community relevance can ranking_performance ranking performance
1277953	query_suggestion suggestion user landing_pages pages poster query_suggestion query suggestion technique query_refinements query refinements combination users navigation_patterns navigation patterns query_logs query logs large search_engine search engine technique queries search_results search results places browsing landing_pages pages approach query_refinements query refinements user_search user search sessions query_logs query logs demonstrate effectiveness landing_pages pages for direct generation query_suggestions query suggestions complementary nature suggestions traditional query_log query log refinement methodologies
1277954	mind machine study combining cognitive relevance_feedback relevance feedback relevance types explore approaches combining algorithm cognitive_relevance cognitive relevance term_relevance term relevance feedback scenario users relevance_feedback relevance feedback terms system for trec_hard topics type feedback cognitive_relevance cognitive relevance type algorithm relevance construct retrieval types relevance_feedback relevance feedback experiment combining simple boolean_operators operators minimal differences performance respect techniques
1277955	collaborative_queries collaborative queries retrieval for difficult_topics difficult topics analysis queries users for topics goal explore potential benefits queries multiple_users users retrieval_performance retrieval performance for difficult_topics difficult topics first overlap users queries overlap results respect queries for same topic explore potential benefits combining users queries results evidence access multiple_users users queries can retrieval for individual for difficult_topics difficult topics
1277956	discussions enterprise mailing_lists lists mailing_list list archives enterprise for employees past proceedings organization relevant present task proceedings discussions topics search_techniques search techniques work context genre documents paper methods theory subjectivity email_messages email messages discussions topic user
1277957	highly_agreed_documents documents relevancy prediction contextual_features contextual features task development interactive_information_retrieval interactive information retrieval systems paper simple method task looking relevance_judgements relevance documents study agreement relevance_judgements relevance can effectiveness documents features effect highly_agreed_documents documents practical implication for design adaptive_search adaptive search models interactive_ir interactive systems
1277958	word substitutions conceal content communications can words trigger attention example writing position write flower position sentence sound for human_reader human reader research detectable text_mining text mining approaches importance component detection_approach detection approach approach candidate for task hidden_markov_models work explore detection_algorithms detection algorithms pointwise_mutual_information information hidden_markov_models
1277959	sampling for enterprise_search enterprise search evaluation real_world real use test_collection test collection methods query test_set test set representative work_load work load application random_sample random sample queries media query_log query log gold_standard gold standard test_set test set demonstrate top query sets can perturbations engine differences performance levels
1277960	document_layout layout color image_retrieval image retrieval paper contribution image_indexing image indexing document creation task method set photographs work document color_harmony harmony document visual balance image_quality image quality consideration user_study user study people range expertise document_creation document creation gather visual_features visual features algorithm benefits for traditional document creation task for case web_page web page banner colors layout
1277961	cluster-based_retrieval cluster-based retrieval experiments texts present cluster-based_retrieval cluster-based retrieval experiments document_collection document collection experiments evaluate retrieval_effectiveness retrieval effectiveness efficiency clustering structure manual_classification manual classification documents effectiveness full-text_search full-text search evaluate implementation alternatives for effectiveness figures cluster-skipping inverted_index index in-memory_query_processing in-memory query processing efficiency comparison traditional techniques
1277962	active_learning active learning recall via boolean_constraints boolean constraints active_learning learning decision_boundary decision boundary relevant documents process can clusters relevant documents classifiers recall paper method increase active_learning active learning recall sampling document subset rich relevant examples
1277963	creativity_support support information_discovery information discovery exploratory_search exploratory search support for creativity learning information_discovery information discovery exploratory_search exploratory search creative tasks products services system evolving information needs relevant_information relevant information images text search browse explore results multiple_queries queries information elements design interest field_study field study evaluate system undergraduate class results efficacy system for creative ideas information visual interactive forms support students invention tasks
1277965	multi-query engine for xml_data data abstract
1277966	unified user_modeling user modeling for integrated searching personal_collections personal collections peer_search peer search centralized search_services search services user_modeling modeling roles discovery sites information stores context-based query_interpretation query interpretation automatic filtering information control graphical depiction explicit_feedback explicit feedback explicit control peer association behavior information_sharing information sharing
1277967	machine_transliteration machine transliteration abstract
1277968	workplace search_tool search tool for software_engineers software workplace need high-precision search_tools search tools retrieving information task hand approach content relevant make use task_context task context search present enterprise_search enterprise search engine for software_engineering software engineering domain exploits relationships user tasks document genres collection retrieval_precision retrieval precision
1277969	wild_thing thing local mobile_device mobile device keyboard cell_phone cell phone near_me search pizza queries wild_thing users patterns implicit explicit cards regular_expressions expressions search_engine search engine logs find queries for location example for regular_expression expression post office places queries local query
1277970	tool for information relevance novelty abstract
1277971	searching speech demonstrator attractive multimedia user experience cultural_heritage cultural heritage domain collection audio documents online_search online search browsing collection indexing_techniques indexing techniques content visualizations photo database
1277972	mobile_interface interface project project tools manage personal_memories personal memories multimedia_retrieval multimedia retrieval system user interfaces for devices paper demonstration mobile_interface mobile interface browsing retrieving pictures gps_data data audio information multimedia_retrieval multimedia retrieval system multimodal_information multimodal information visual_content visual content metadata audio information interface cultural_heritage cultural heritage site
1277973	full-text_retrieval full-text retrieval toolkit for mobile_desktop_search mobile desktop search abstract
1277974	searching the_web web for expertise abstract
1277975	text_categorization categorization for streams system for stream-based text_categorization text categorization text_categorization text categorization text stream symbols traditional feature-based_approach approach features text system languages models models text_compression text compression scheme measures system techniques classifier classification_tasks classification tasks authorship
1277976	search_results results timeline visualizations abstract
1277977	indexing technology for near-duplicate_detection near-duplicate detection similarity_search similarity search indexing technology use very_large large documents queries retrieval_performance retrieval performance standard term query approach retrieval tasks near_duplicate_detection duplicate detection similarity_search similarity search demonstrate performance technology search_index search index index search_interface search interface indexing technology similarity hashing minimal_perfect_hashing minimal perfect hashing
1277978	real_time real time qa_system system abstract
1277979	ranking for local_search local search engine ranking schemes relevance web_page page user_query user query search_engine search engine search_term search term geographic_information geographic information geographic_entities geographic entities city names location_names location names web_page page font alternative ranking approach traditional weighted idf relevance_ranking relevance ranking need web_site site geographic entity case its same entity geographic_entities geographic entities present local_search local search engine ranking_algorithm ranking algorithm for ranking web_pages pages geographic content its components geographic ranking focused_crawling focused crawling geographic extractor feature
1277980	ranking vertical_search_engine vertical search engine web_document document ranking come way the_web led area topic-sensitive_ranking ranking its variants address high_dimensionality dimensionality the_web tools for focused_search focused search focused_search focused search engine coverage subset topics the_web users relevant search_results search results domain demonstration will readers vertical_search_engine
1277981	do-it-yourself evaluation_service evaluation service for music_information_retrieval music information retrieval systems abstract
1277982	experiential_learning experiential learning tool for teaching abstract
1277984	measures evaluate effectiveness interactive information_retrieval_system information retrieval system research relationship information_retrieval systems effectiveness users performance accuracy speed satisfaction results precision results completeness results system_success system success studies systems increase ir_effectiveness_measures effectiveness measures improvement users performance work factors can confounding variables interactive_information_retrieval evaluation research approaches evaluate systems build interactive evaluation_framework evaluation framework aspects systems effectiveness users performance satisfaction research methods for capturing users satisfaction results systems examination users performance task_completion task completion evaluation_measures evaluation measures batch mode experiment interactive_ir interactive system research hope reliable metrics for evaluation first study set explore relationship system effectiveness traditional measures precision_and_recall precision recall users effectiveness satisfaction results study users tasks images for tasks direct relationship system effectiveness users performance learn adapt system its effectiveness study combination measures system effectiveness user performance satisfaction evaluate systems observation study users familiarity search topic performance set experiment users satisfaction ir_effectiveness_measures effectiveness measures precision cumulative_gain measures simple web_searching web searching tasks study users satisfaction results ir_system system users web_search_engines web search context simple search_task search task precision completeness search correlation users satisfaction success search satisfaction accuracy search_results search results satisfaction completeness search perceptions users ir_effectiveness_measures effectiveness measures measures_of_effectiveness measures effectiveness issue evaluation focusing retrieval_performance retrieval performance refining techniques understanding users satisfaction behaviors information needs need for investigation measures translate users performance satisfaction criterion system plans variables domain_knowledge domain knowledge motivation task_complexity task complexity search behaviours user performance users evaluation ir_system system performance interactive_ir interactive systems explore suitability measures evaluation approach multidimensional approach evaluation traditional evaluation_measures evaluation measures precision_and_recall precision recall interactive measures users characteristics satisfaction
1277985	people_search search enterprise abstract
1277986	integration proximity for text semi-structured graph retrieval abstract
1277987	attention-based_information_retrieval information retrieval thesis will attention data user eye_tracker eye tracker can order personalize information_retrieval_methods information retrieval methods
1277988	summarisation logic for structured_documents structured documents approach information_retrieval tries model relevance document query implication documents queries work states retrieval status value document query proportional degree implication document query probabilistic logics for information_retrieval information retrieval add layer abstraction information_retrieval_task information retrieval task probabilistic_models probabilistic models for retrieval documents logics research logic for task document_summarisation document summarisation summarisation logic abstraction_layer abstraction layer summarisation task way logic for document_retrieval document retrieval layer retrieval_task retrieval task probabilistic_models models for document_summarisation document summarisation will logical_formulae implementation expressions textual components logic degree implication textual components contexts measure components context situated
1277989	modeling cues human_activity human activity information_context information context work meetings same time same information itineraries schedules agendas reports menus web_pages web pages for activities information_retrieval_systems retrieval systems general sensitivity recurrent context users search cues for objects objects ad-hoc storage strategies semantic cues information objects temporal sensory cues clock time location objects can environmental context internal semantic_content semantic content model network_representation network representation information objects times conditions location weather can query system review activities times information objects system can proven past situations model incremental real-time dynamic accurate summary user information_behaviour information behaviour changes time systems applications personal_information_management personal information management mobile_devices mobile devices smart_homes smart memory_prosthesis memory model can support autonomous for cognitively_impaired impaired present research_agenda research agenda
1277990	temporal spatial reasoning for intelligent_information_retrieval intelligent information retrieval spatial information text_documents text documents qualitative way vagueness for extensions traditional frameworks for qualitative_reasoning qualitative reasoning time space research extensions fuzzy_set_theory fuzzy set theory frameworks kinds intelligent_information_retrieval intelligent information retrieval temporal_question_answering temporal question geographic_information_retrieval geographic information retrieval
1277991	paragraph_retrieval retrieval for why question_answering question abstract
1277992	resources for peer-to-peer text_retrieval text retrieval thesis paper issues unstructured peer-to-peer information_retrieval information retrieval systems world_knowledge knowledge for solving problems first reference corpora for estimating global term_weights term weights sampling distributed_collection distributed collection work will question query_routing query routing unstructured systems peer resource world_knowledge knowledge for query_expansion query expansion
1277993	generation retrieval expert coefficients for multimedia_retrieval multimedia retrieval information_retrieval can task matching multi-modal_information multi-modal information need components multimedia corpus retrieving relevant elements matching retrieval place features can visual audio can high-level low-level can independent retrieval expert task query can data_fusion data fusion problem query expert retrieval coefficients can weight expert increase performance approaches expert coefficient generation coefficients identification machine_learning_methods machine learning methods name approach expert coefficients approach experiments correlation score_distribution score distribution retrieval expert its relative_performance relative performance experts for query basic method observations coefficients performance weights for experts collections experiment research distribution respect relevance work expert for query relative_performance relative performance work explore correlation potential bias data_collections data collections retrieval experts queries experiments robust observations investigations data_fusion data fusion will explore data_fusion data fusion multimedia_retrieval multimedia retrieval refine extend techniques for automatic coefficient generation observations performance will approach data_fusion data fusion methods coefficients approach performance_improvements performance
133167	relevance_feedback feedback relevance_feedback relevance feedback effective interactive_information_retrieval interactive information retrieval formal user_experiments user experiments order user_experiment user experiment large_document_collection large document collection experiments missing_links links probabilistic_retrieval_model probabilistic retrieval model experiments collection importance query_expansion query expansion query reweighting terms result performance_improvements performance iterations feedback effective
133169	relevance_feedback relevance feedback relevance_feedback relevance feedback techniques for techniques commercial full-text_document_retrieval full-text document retrieval system performance_problems performance problems fact application relevance_feedback relevance feedback techniques complexity user_interface user interface use document_retrieval_system document retrieval system paper relevance_feedback relevance feedback technique user_interfaces user interfaces same time retrieval results relevance_feedback relevance feedback technique relevance_feedback relevance feedback techniques
133171	informativeness retrieval_process retrieval process information_retrieval_systems information retrieval systems measures information retrieval_process retrieval process informativeness measures account interactive full-text nature systems types questions properties for informativeness measure context_sensitivity context sensitivity user centrality logarithmic response framework for measuring informativeness retrieval_process retrieval process measure properties measure information measures via application
133172	evaluation clustered representations text_categorization text categorization task syntactic_phrase_indexing phrase indexing term_clustering term clustering text_representation text representation techniques for text_retrieval text retrieval paper study properties clustered indexing languages text_categorization text categorization task study properties isolation query_interpretation query interpretation issues optimal effectiveness small indexing terms effectiveness feature_set feature set size lower effectiveness for syntactic_phrase_indexing syntactic phrase indexing for word-based_indexing indexing present results traditional term_clustering term clustering method text_representations text representations probabilistic text categorization method
133175	document classification natural_language_processing natural language processing statistical_analysis statistical analysis expert_system expert system techniques paper automated_method automated method classifying research project human expert sample set projects set classes computer sample projects classes textual information associated projects learning classification phases textual_information information methods analysis natural_language_analysis natural language analysis statistical analysis information symbolic_learning symbolic learning technique present results experiments real_data real data classifications research projects
133177	news stories memory_based reasoning method for classifying news stories memory_based nearest_neighbor neighbor method manual topic definitions training_database training database stories text_retrieval_system text retrieval system relevance_feedback relevance feedback match engine codes stories recall precision codes massively_parallel parallel supercomputer leverage information stories code story text_retrieval_system text retrieval system results approach effective development time classification_systems classification systems large number topics for purpose classification message_routing message routing
133179	term_position position ranking test results sets laboratory results testing variables term_position term position ranking phrase effect weighting distance terms tests project covering variant term_position term position algorithms sentence_boundaries sentence boundaries stopword counting testing field selection algorithm collection frequency record frequency weighted discussion results tests need for term stemming proximity precision device comparisons quality test_collections test collections
133180	automatic statistical thesaurus_construction thesaurus construction thesaurus tool effective information_retrieval_system information retrieval system paper reports results experiments validity approach automatic_construction automatic construction global thesauri clustering document collection authors approach use thesauri method results retrieval_effectiveness retrieval effectiveness test_collections test collections term discrimination value theory thesaurus_generation thesaurus generation algorithm term membership thesaurus class poor thesaurus class authors approach automatic_thesaurus_construction automatic thesaurus construction work thesaurus classes experimental_results results approach thesauri retrieval_effectiveness retrieval effectiveness first method lower cost
133181	syntactic_context syntactic context term association lists for text_retrieval text retrieval aspect world_knowledge knowledge information_retrieval information retrieval knowing words word_relatedness word relatedness system user query terms relevant documents terms words can same contexts co-occurrence measure word_relatedness word relatedness on-line dictionaries robust parsers extraction word contexts large_corpora large corpora paper will extraction_technique extraction technique syntactic_analysis syntactic analysis domain_knowledge domain knowledge technique lists words work corpus terms query_expansion query expansion standard information_retrieval information retrieval testbed results document techniques queries contention words technique
133183	full-text_information_retrieval full-text information retrieval system paper present approach object_versioning object versioning distributed full-text_information_retrieval full-text information retrieval system implementation index sets its space_overhead space overhead performance make for full-text its dependence inverted_indexing indexing algorithms for computing historical queries time range_queries range queries algorithms can number problems distributed information management data_replication data replication caching transactional consistency hybrid_media hybrid media repositories
133185	activities database heterogeneous collections structured_text structured text first paper mathematical_framework framework containment_model containment model operations data structures for text database hierarchical_structure hierarchical structure database hierarchical collection continuous extents word word phrase text element element filter operations making search command terms containment criteria will search formalism mathematical_framework framework its associated language conceptual layer can construct layer user_interface user interface functionality needs user application_domain application domain conceptual layer design implementation interface handles queries search heterogeneous collection structured_documents structured documents functionality set modules environment same for interfaces interface_environment interface environment communicate text_retrieval text retrieval engine command protocol small set filter operators design interface flexibility for variety search browsing capabilities modular independence interface respect its retrieval_engine retrieval engine advantages retrieval commands operators text_algebra text algebra sound theoretical for database
133186	textual object_management object management system programs access text code textual objects programs electronic_mail electronic mail readers full-text_information_retrieval full-text information retrieval systems code access textual objects efficient flexible programming_language programming language like general facilities for textual objects cost text for textual object full-text_information_retrieval full-text information retrieval systems access number kinds textual objects access efficient system paper programming_tool programming tool for managing textual objects flexibility access complex document_structure document structure large number kinds textual objects access objects terms time space access secondary_storage storage
133188	probabilistic modal_logic modal logic for semantic-based_information_retrieval semantic-based information retrieval approaches information_retrieval make query_evaluation query evaluation inference_process inference process semantic_relations semantic relations approaches find semantic_relationships semantic relationships document query quantitative estimation correspondence hand probabilistic_approaches probabilistic approaches statistical relationships terms improvement approaches paper probabilistic_models probabilistic models modal_logic modal logic integration natural model basis modal_logic modal logic advantages augmenting semantic-based approach probabilistic measurement augmenting probabilistic_approach probabilistic approach semantic_relations semantic relations statistical model conditions for absolute probability_function probability function
133190	analysis vector_space_models vector space models computational_geometry geometry paper properties structures limitations models for information retrieval computational_geometry geometry point_of_view point view standard vector_space_models vector space models can generalized linear model sufficient_conditions conditions ranking_functions ranking functions inner-product cosine covariance correlation measures can rank documents structure solution region for ranking algorithm for solution vectors
133191	latent_semantic_indexing semantic indexing optimal case multidimensional_scaling multidimensional scaling latent_semantic_indexing technique for representing documents queries terms vectors multidimensional space approximations term space encoding the_matrix matrix technique singular_value_decomposition comparison multidimensional_scaling class data_analysis data analysis techniques for representing data points points multidimensional space objects space match similarity information document representations equivalent optimal representations solving problem similarity information inner_product inner product documents analyze general problem similarity information inner_product inner product form respect vector_space vector space encoding documents
133194	system for retrieving speech documents information_retrieval_model information retrieval model for retrieval speech documents audio recordings speech indexing vocabulary indexing features following characteristics speech_recognition speech recognition methods number indexing features small training_data training data train hidden_markov_models models speech_recognition speech recognition process retrieval_method retrieval method indexing features retrieval_effectiveness retrieval effectiveness experiments text_collections text collections indexing features can speech documents text_documents text documents characteristic speech documents text_documents text documents can queries speech text simple multimedia_retrieval multimedia retrieval model prototype retrieval_system retrieval system development
133195	document modelling paper report study validity model word_distribution word distribution document_collections document collections distribution poisson_distributions distributions practical algorithm for word distributed distribution computing distribution parameters algorithm word document_collections document collections words terms distributions results words collection_size collection size document_length document length frequency individual words words distributed poisson_distributions distributions number components poisson_distributions distributions number components collection frequency words
133197	extensible document_retrieval_system document retrieval system linguistic principles natural_language natural language document_retrieval document retrieval systems use syntax structures phrases documents index_terms index terms systems reduce syntactic variability natural_language natural language normalisation procedure syntax structures retrieval_performance retrieval performance systems systems use meaning_representation_language meaning representation language index documents paper system horn_clause meaning_representation_language meaning representation language techniques natural_language_processing natural incremental extensibility methods logic_programming robustness face data
133199	probabilistic_retrieval retrieval logistic_regression regression goal probabilistic_retrieval_system probabilistic retrieval system design rank elements search order probability usefulness user methods for computing ranking use statistical independence assumptions multiple_regression_analysis regression analysis learning sample paper techniques way accuracy probabilistic estimate computational_complexity complexity element design regression_analysis regression analysis levels approach composite retrieval first within_groups groups for statistical assumptions search_algorithms search algorithms computational_efficiency efficiency
133202	probabilistic fact text_retrieval text retrieval paper model for combining text fact_retrieval fact retrieval query set conditions condition text fact condition conditions can weights for fact conditions respect database objects text conditions use terms documents indexing weights terms attributes indexing weights for conditions correctness acceptability condition object indexing weights retrieval for probabilistic_ranking probabilistic ranking objects retrieval for probabilistic_ranking probabilistic ranking objects model for derivation
133203	integration text_retrieval_system text retrieval system object-oriented_database object-oriented database system document_management_systems management systems for business_applications business applications type_of_system type system functionality database_system database system for documents complex structure relationships text_retrieval_system text retrieval system for effective retrieval text retrieval_model retrieval model for document_management_system document management system variety complexity objects paper approach complex_object_retrieval complex object retrieval probabilistic_inference probabilistic inference net model implementation approach loose_coupling coupling object-oriented_database object-oriented database system text_retrieval_system text retrieval system inference system store structured_documents structured documents can document_components document components figures contents contents components lessons_learnt lessons implementation
133205	assignment reviewers for conference review committee variety automated methods information_retrieval information retrieval principles latent_semantic_indexing reviewers ratings for abstracts abstract interests automated methods relevant papers for review assignments human experts assignment matching reviewers ranking papers automated assignment_method assignment method performance human experts reviewers papers review review load
133207	database subject_searching searching universities library_catalogue library database paper searching approaches user_interface user interface capabilities users subject_searching searching library_catalogue library database database managed software_systems software systems national project for library_automation library automation project database for end-user database duplication database data usable for making efficient documents design choice virtual document document unstructured_data unstructured data usable for search purposes paper dialogue user search approaches on-line dictionaries user interaction search_tool search tool can his information_needs information needs support interface capabilities retrieval path history words codes on-line dictionaries first users universities research institutions first time log_data log data work make users database build knowledge usage
